method,symbols,snr_db,shape_success,utility_psnr,note
repetition_code,768,-2.0,1.0,22.34386780618552,3-bit shape metadata; rate=0.00391
random_codebook,768,-2.0,1.0,22.34386780618552,3-bit shape metadata; rate=0.00391
semantic_header,768,-1.5,1.0,23.905958028894975,3-bit shape metadata; rate=0.00391
repetition_code,768,-1.5,1.0,23.905958028894975,3-bit shape metadata; rate=0.00391
random_codebook,768,-1.5,1.0,23.905958028894975,3-bit shape metadata; rate=0.00391
semantic_header,768,-1.0,1.0,24.647537408367413,3-bit shape metadata; rate=0.00391
repetition_code,768,-1.0,1.0,24.647537408367413,3-bit shape metadata; rate=0.00391
random_codebook,768,-1.0,1.0,24.647537408367413,3-bit shape metadata; rate=0.00391
semantic_header,768,-0.5,1.0,25.150259885113748,3-bit shape metadata; rate=0.00391
repetition_code,768,-0.5,1.0,25.150259885113748,3-bit shape metadata; rate=0.00391
random_codebook,768,-0.5,1.0,25.150259885113748,3-bit shape metadata; rate=0.00391
semantic_header,768,0.0,1.0,26.053523692071643,3-bit shape metadata; rate=0.00391
repetition_code,768,0.0,1.0,26.053523692071643,3-bit shape metadata; rate=0.00391
random_codebook,768,0.0,1.0,26.053523692071643,3-bit shape metadata; rate=0.00391
semantic_header,768,0.5,1.0,26.55339429101776,3-bit shape metadata; rate=0.00391
repetition_code,768,0.5,1.0,26.55339429101776,3-bit shape metadata; rate=0.00391
random_codebook,768,0.5,1.0,26.55339429101776,3-bit shape metadata; rate=0.00391
semantic_header,768,1.0,1.0,27.00531890258627,3-bit shape metadata; rate=0.00391
repetition_code,768,1.0,1.0,27.00531890258627,3-bit shape metadata; rate=0.00391
random_codebook,768,1.0,1.0,27.00531890258627,3-bit shape metadata; rate=0.00391
semantic_header,768,1.5,1.0,27.709286752516995,3-bit shape metadata; rate=0.00391
repetition_code,768,1.5,1.0,27.709286752516995,3-bit shape metadata; rate=0.00391
random_codebook,768,1.5,1.0,27.709286752516995,3-bit shape metadata; rate=0.00391
semantic_header,768,2.0,1.0,28.280856264535196,3-bit shape metadata; rate=0.00391
repetition_code,768,2.0,1.0,28.280856264535196,3-bit shape metadata; rate=0.00391
random_codebook,768,2.0,1.0,28.280856264535196,3-bit shape metadata; rate=0.00391
semantic_header,768,2.5,1.0,28.63220828730872,3-bit shape metadata; rate=0.00391
repetition_code,768,2.5,1.0,28.63220828730872,3-bit shape metadata; rate=0.00391
