image,snr_db,semantic_psnr,semantic_ok,ldpc_psnr,ldpc_ok,semantic_header_psnr,semantic_header_ok,reencode_psnr,reencode_ok,latsmooth_psnr,latsmooth_ok,gradent_psnr,gradent_ok,tv_psnr,tv_ok,watermark,alpha
kodim01,-12.0,9.62245757171105,1,0.0,0,9.649734256598485,1,9.510381256349016,1,9.510381256349016,1,9.510381256349016,1,9.510381256349016,1,component,0.1
kodim01,-11.5,9.759296306073415,1,0.0,0,9.740513738530414,1,9.838958998015288,1,9.838958998015288,1,0.0,0,9.838958998015288,1,component,0.1
kodim01,-11.0,9.934600803804512,1,0.0,0,10.062913364297035,1,10.108796257325025,1,10.108796257325025,1,0.0,0,0.0,0,component,0.1
kodim01,-10.5,10.156253049487876,1,0.0,0,10.25983791066527,1,0.0,0,0.0,0,0.0,0,10.37372539726749,1,component,0.1
kodim01,-10.0,10.523386924590739,1,0.0,0,10.839270780147816,1,10.880017459358132,1,10.880017459358132,1,0.0,0,0.0,0,component,0.1
kodim01,-9.5,10.969006391529417,1,0.0,0,11.15794378176593,1,11.119225455527047,1,11.119225455527047,1,0.0,0,0.0,0,component,0.1
kodim01,-9.0,11.62958487773488,1,0.0,0,11.522463354297294,1,11.485316833511485,1,11.485316833511485,1,11.485316833511485,1,11.485316833511485,1,component,0.1
kodim01,-8.5,12.052765272740626,1,0.0,0,12.388111995053105,1,0.0,0,12.196399222246994,1,0.0,0,12.196399222246994,1,component,0.1
kodim01,-8.0,12.673022351314989,1,0.0,0,12.760682988254109,1,12.410963147040661,1,12.410963147040661,1,0.0,0,0.0,0,component,0.1
kodim01,-7.5,12.874409065058474,1,0.0,0,13.306947875107005,1,13.172707779070647,1,13.172707779070647,1,13.172707779070647,1,0.0,0,component,0.1
kodim01,-7.0,13.756649402143186,1,0.0,0,13.940100410378536,1,0.0,0,14.156025705064456,1,14.156025705064456,1,14.156025705064456,1,component,0.1
kodim01,-6.5,14.428964662096684,1,0.0,0,14.665476997979145,1,0.0,0,14.823010580779197,1,14.823010580779197,1,14.823010580779197,1,component,0.1
kodim01,-6.0,15.251820700632406,1,0.0,0,14.981175237722562,1,15.100186453117942,1,15.100186453117942,1,15.100186453117942,1,0.0,0,component,0.1
kodim01,-5.5,15.691351454922343,1,0.0,0,15.977349181742762,1,15.909660864994578,1,15.909660864994578,1,15.909660864994578,1,0.0,0,component,0.1
kodim01,-5.0,16.481029512335112,1,0.0,0,16.560261646683255,1,16.181905438594043,1,16.181905438594043,1,16.181905438594043,1,0.0,0,component,0.1
kodim01,-4.5,17.099803141459194,1,0.0,0,16.56848640144854,1,16.817391027204216,1,16.817391027204216,1,16.817391027204216,1,0.0,0,component,0.1
kodim01,-4.0,17.78817606680203,1,0.0,0,18.108588672442753,1,18.286216125520543,1,18.286216125520543,1,18.286216125520543,1,0.0,0,component,0.1
kodim01,-3.5,18.500743806298445,1,0.0,0,18.23281011401408,1,18.726831020365886,1,18.726831020365886,1,18.726831020365886,1,0.0,0,component,0.1
kodim01,-3.0,18.73702728504681,1,0.0,0,19.379687942458833,1,18.892195269832314,1,18.892195269832314,1,18.892195269832314,1,0.0,0,component,0.1
kodim01,-2.5,20.10936223295628,1,0.0,0,19.65688359935873,1,19.33592711218413,1,19.33592711218413,1,19.33592711218413,1,0.0,0,component,0.1
kodim01,-2.0,20.154374218763277,1,20.651882781854276,1,20.414056906252274,1,20.824084154405902,1,20.824084154405902,1,20.824084154405902,1,0.0,0,component,0.1
kodim01,-1.5,20.990570513707457,1,20.533731132088164,1,21.342116764679282,1,20.82874959163057,1,20.82874959163057,1,20.82874959163057,1,0.0,0,component,0.1
kodim01,-1.0,22.273244661063323,1,22.566691219080973,1,21.943780559499455,1,21.779838184046593,1,21.779838184046593,1,21.779838184046593,1,0.0,0,component,0.1
kodim01,-0.5,23.118814871142952,1,22.65901785681359,1,22.415942392746583,1,22.770850193843287,1,22.770850193843287,1,22.770850193843287,1,0.0,0,component,0.1
kodim01,0.0,23.04270286271684,1,22.90077821440083,1,23.112011628234907,1,23.38844563317128,1,23.38844563317128,1,23.38844563317128,1,0.0,0,component,0.1
kodim01,0.5,23.924186999028578,1,24.098476343361153,1,23.795836629521034,1,24.238888850567243,1,24.238888850567243,1,24.238888850567243,1,0.0,0,component,0.1
kodim01,1.0,24.946807261700343,1,24.870941566073704,1,24.416281124851608,1,24.932703952184163,1,24.932703952184163,1,24.932703952184163,1,0.0,0,component,0.1
kodim01,1.5,24.90838751861389,1,25.46986225951621,1,24.813223449767328,1,25.438511918808793,1,25.438511918808793,1,25.438511918808793,1,0.0,0,component,0.1
kodim01,2.0,25.640748658758188,1,25.78094345885304,1,25.79715495164972,1,25.670295663236846,1,25.670295663236846,1,25.670295663236846,1,0.0,0,component,0.1
kodim01,2.5,26.262859208671422,1,26.17243887354499,1,26.202908633614847,1,26.290437313276232,1,26.290437313276232,1,26.290437313276232,1,0.0,0,component,0.1
kodim01,3.0,26.68918895124812,1,26.65378799413979,1,26.76163167294845,1,26.833179880542364,1,26.833179880542364,1,26.833179880542364,1,0.0,0,component,0.1
kodim01,3.5,27.01900972054068,1,27.07981303910625,1,26.91359442144754,1,26.980588642375626,1,26.980588642375626,1,26.980588642375626,1,0.0,0,component,0.1
kodim01,4.0,27.287288001147942,1,27.319348788943852,1,27.42092620389851,1,27.336364016397752,1,27.336364016397752,1,27.336364016397752,1,0.0,0,component,0.1
kodim02,-12.0,12.307264121361133,1,0.0,0,11.911521032273946,1,11.777854891448387,1,11.777854891448387,1,0.0,0,0.0,0,component,0.1
